rank,state,peak_name,elev_ft,range,ascents,latitude,longitude,prominence_ft,peak_type,peak_url
1,Alaska,Denali,20310,Alaska Range,354,63.069042,-151.006347,20146,,https://www.peakbagger.com/peak.aspx?pid=271
2,California,Mount Whitney,14499,Sierra Nevada,4762,36.57861,-118.29203,10079,,https://www.peakbagger.com/peak.aspx?pid=2829
3,Colorado,Mount Elbert,14438,Southern Rocky Mountains,2770,39.11775,-106.44538,9078,,https://www.peakbagger.com/peak.aspx?pid=5736
4,Washington,Mount Rainier,14406,Cascade Range,3714,46.851731,-121.760395,13241,Volcano,https://www.peakbagger.com/peak.aspx?pid=2296
5,Wyoming,Gannett Peak,13810,Greater Yellowstone Rockies,483,43.184205,-109.654259,7082,,https://www.peakbagger.com/peak.aspx?pid=5352
6,Hawaii,Mauna Kea,13796,Hawaii,1108,19.820679,-155.468024,13796,Volcano,https://www.peakbagger.com/peak.aspx?pid=11909
7,Utah,Kings Peak,13529,Western Rocky Mountains,1176,40.77635,-110.37296,6349,,https://www.peakbagger.com/peak.aspx?pid=5507
8,New Mexico,Wheeler Peak,13162,Southern Rocky Mountains,1499,36.55686,-105.41694,3401,,https://www.peakbagger.com/peak.aspx?pid=5937
9,Nevada,Boundary Peak,13141,Great Basin Ranges,1148,37.84608,-118.35133,271,,https://www.peakbagger.com/peak.aspx?pid=3625
10,Montana,Granite Peak,12804,Greater Yellowstone Rockies,478,45.16342,-109.80732,4764,,https://www.peakbagger.com/peak.aspx?pid=5258
11,Idaho,Borah Peak,12665,Idaho-Bitterroot Rocky Mountains,1111,44.13739,-113.78109,5985,,https://www.peakbagger.com/peak.aspx?pid=5142
12,Arizona,Humphreys Peak,12636,Colorado Plateau,2016,35.34637,-111.67797,6042,,https://www.peakbagger.com/peak.aspx?pid=3938
13,Oregon,Mount Hood,11244,Cascade Range,2817,45.37353,-121.69589,7711,Volcano,https://www.peakbagger.com/peak.aspx?pid=2382
14,Texas,Guadalupe Peak,8750,Southwest Basins and Ranges,1733,31.89148,-104.86075,3030,,https://www.peakbagger.com/peak.aspx?pid=4297
15,South Dakota,Black Elk Peak,7231,Great Plains,1500,43.865973,-103.531188,2911,,https://www.peakbagger.com/peak.aspx?pid=6236
16,North Carolina,Mount Mitchell,6684,Blue Ridge Mountains,2252,35.76484,-82.2651,6089,,https://www.peakbagger.com/peak.aspx?pid=7822
17,Tennessee,Kuwohi,6644,Blue Ridge Mountains,2390,35.56285,-83.49852,4510,,https://www.peakbagger.com/peak.aspx?pid=7764
18,New Hampshire,Mount Washington,6286,Northern U.S. Appalachians,6919,44.27049,-71.30327,6146,,https://www.peakbagger.com/peak.aspx?pid=6960
19,Virginia,Mount Rogers,5711,Blue Ridge Mountains,1477,36.65986,-81.54495,2431,,https://www.peakbagger.com/peak.aspx?pid=7796
20,Nebraska,Panorama Point,5429,Great Plains,1083,41.007741,-104.031402,29,,https://www.peakbagger.com/peak.aspx?pid=6284
21,New York,Mount Marcy,5344,Canadian Shield,3161,44.11275,-73.92371,4917,,https://www.peakbagger.com/peak.aspx?pid=6048
22,Maine,Katahdin,5267,Northern U.S. Appalachians,2805,45.90437,-68.92128,4287,,https://www.peakbagger.com/peak.aspx?pid=6820
23,Oklahoma,Black Mesa,4973,Great Plains,979,36.931838,-102.997859,0,,https://www.peakbagger.com/peak.aspx?pid=6322
24,West Virginia,Spruce Knob,4864,Appalachian Plateaus,1361,38.70018,-79.53303,2784,,https://www.peakbagger.com/peak.aspx?pid=7376
25,Georgia,Brasstown Bald,4784,Blue Ridge Mountains,1590,34.87447,-83.81113,2108,,https://www.peakbagger.com/peak.aspx?pid=7730
26,Vermont,Mount Mansfield,4395,Northern U.S. Appalachians,3010,44.54395,-72.81431,3635,,https://www.peakbagger.com/peak.aspx?pid=7013
27,Kentucky,Black Mountain,4139,Appalachian Plateaus,972,36.91425,-82.89397,1899,,https://www.peakbagger.com/peak.aspx?pid=7464
28,Kansas,Mount Sunflower,4039,Great Plains,1118,39.021982,-102.037141,19,,https://www.peakbagger.com/peak.aspx?pid=6307
29,South Carolina,Sassafras Mountain,3553,Blue Ridge Mountains,1309,35.06526,-82.77731,777,,https://www.peakbagger.com/peak.aspx?pid=7720
30,North Dakota,White Butte,3508,Great Plains,858,46.387016,-103.302604,553,,https://www.peakbagger.com/peak.aspx?pid=6192
31,Massachusetts,Mount Greylock,3492,Northern U.S. Appalachians,2477,42.63727,-73.1661,2468,,https://www.peakbagger.com/peak.aspx?pid=7065
32,Maryland,Backbone Mountain,3360,Appalachian Plateaus,1228,39.237398,-79.485528,80,,https://www.peakbagger.com/peak.aspx?pid=7354
33,Pennsylvania,Mount Davis,3213,Appalachian Plateaus,1386,39.785989,-79.176762,653,,https://www.peakbagger.com/peak.aspx?pid=7351
34,Arkansas,Magazine Mountain,2753,Ozark Highlands,1095,35.16699,-93.64478,2133,,https://www.peakbagger.com/peak.aspx?pid=6606
35,Alabama,Cheaha Mountain,2408,Appalachian Ridges,1186,33.48552,-85.80867,1448,,https://www.peakbagger.com/peak.aspx?pid=7542
